ID,Elemento_OpenAPI,Tipo_Elemento,Localizacao_OpenAPI,Linha_no_YAML_anotado,Extensao,Conceitos_OntoPrivacy,Evidencia_resumida,Decisao,Observacao
MAP-001,PUT /cob/{txid},Operação HTTP,"paths[""/cob/{txid}""].put",395,x-operationType,Operação de TDP | Coleta | Armazenamento,Criar cobrança imediata.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-002,PATCH /cob/{txid},Operação HTTP,"paths[""/cob/{txid}""].patch",437,x-operationType,Operação de TDP | Alteração,Revisar cobrança imediata.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-003,GET /cob/{txid},Operação HTTP,"paths[""/cob/{txid}""].get",471,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar cobrança imediata.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-004,POST /cob,Operação HTTP,"paths[""/cob""].post",511,x-operationType,Operação de TDP | Coleta | Armazenamento,Criar cobrança imediata.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-005,GET /cob,Operação HTTP,"paths[""/cob""].get",551,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar lista de cobranças imediatas.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-006,PUT /cobv/{txid},Operação HTTP,"paths[""/cobv/{txid}""].put",621,x-operationType,Operação de TDP | Coleta | Armazenamento,Criar cobrança com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-007,PATCH /cobv/{txid},Operação HTTP,"paths[""/cobv/{txid}""].patch",657,x-operationType,Operação de TDP | Alteração,Revisar cobrança com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-008,GET /cobv/{txid},Operação HTTP,"paths[""/cobv/{txid}""].get",691,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar cobrança com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-009,GET /cobv,Operação HTTP,"paths[""/cobv""].get",723,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar lista de cobranças com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-010,PUT /lotecobv/{id},Operação HTTP,"paths[""/lotecobv/{id}""].put",799,x-operationType,Operação de TDP | Coleta | Armazenamento | Alteração,Criar/Alterar lote de cobranças com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-011,PATCH /lotecobv/{id},Operação HTTP,"paths[""/lotecobv/{id}""].patch",846,x-operationType,Operação de TDP | Alteração,Utilizado para revisar cobranças específicas dentro de um lote de cobranças com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-012,GET /lotecobv/{id},Operação HTTP,"paths[""/lotecobv/{id}""].get",878,,,Consultar um lote específico de cobranças com vencimento.,Não anotado — evidência insuficiente,O contrato OpenAPI não forneceu evidência suficiente para classificação no escopo do estudo.
MAP-013,GET /lotecobv,Operação HTTP,"paths[""/lotecobv""].get",903,,,Consultar lotes de cobranças com vencimento.,Não anotado — evidência insuficiente,O contrato OpenAPI não forneceu evidência suficiente para classificação no escopo do estudo.
MAP-014,POST /loc,Operação HTTP,"paths[""/loc""].post",939,,,Criar location do payload.,Não anotado — evidência insuficiente,O contrato OpenAPI não forneceu evidência suficiente para classificação no escopo do estudo.
MAP-015,GET /loc,Operação HTTP,"paths[""/loc""].get",982,,,Consultar locations cadastradas.,Não anotado — evidência insuficiente,O contrato OpenAPI não forneceu evidência suficiente para classificação no escopo do estudo.
MAP-016,GET /loc/{id},Operação HTTP,"paths[""/loc/{id}""].get",1035,,,Recuperar location do payload.,Não anotado — evidência insuficiente,O contrato OpenAPI não forneceu evidência suficiente para classificação no escopo do estudo.
MAP-017,DELETE /loc/{id}/txid,Operação HTTP,"paths[""/loc/{id}/txid""].delete",1071,,,Desvincular uma cobrança de uma location.,Não anotado — evidência insuficiente,O contrato OpenAPI não forneceu evidência suficiente para classificação no escopo do estudo.
MAP-018,GET /pix/{e2eid},Operação HTTP,"paths[""/pix/{e2eid}""].get",1107,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar Pix.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-019,GET /pix,Operação HTTP,"paths[""/pix""].get",1136,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar Pix recebidos.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-020,PUT /pix/{e2eid}/devolucao/{id},Operação HTTP,"paths[""/pix/{e2eid}/devolucao/{id}""].put",1211,,,Solicitar devolução.,Ponto de validação,Possível vínculo com pessoa natural depende do contexto operacional; não anotada na versão final.
MAP-021,GET /pix/{e2eid}/devolucao/{id},Operação HTTP,"paths[""/pix/{e2eid}/devolucao/{id}""].get",1246,,,Consultar devolução.,Ponto de validação,Possível vínculo com pessoa natural depende do contexto operacional; não anotada na versão final.
MAP-022,GET /{pixUrlAccessToken},Operação HTTP,"paths[""/{pixUrlAccessToken}""].get",1279,x-operationType,Operação de TDP | Consulta | Disponibilização,Recuperar o payload JSON que representa a cobrança imediata.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-023,GET /cobv/{pixUrlAccessToken},Operação HTTP,"paths[""/cobv/{pixUrlAccessToken}""].get",1349,x-operationType,Operação de TDP | Consulta | Disponibilização,Recuperar o payload JSON que representa a cobrança com vencimento.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-024,PUT /webhook/{chave},Operação HTTP,"paths[""/webhook/{chave}""].put",1406,x-operationType,Operação de TDP | Coleta | Armazenamento | Alteração,Configurar o Webhook Pix.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-025,GET /webhook/{chave},Operação HTTP,"paths[""/webhook/{chave}""].get",1460,x-operationType,Operação de TDP | Consulta | Disponibilização,Exibir informações acerca do Webhook Pix.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-026,DELETE /webhook/{chave},Operação HTTP,"paths[""/webhook/{chave}""].delete",1485,x-operationType,Operação de TDP | Exclusão,Cancelar o webhook Pix.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-027,GET /webhook,Operação HTTP,"paths[""/webhook""].get",1507,x-operationType,Operação de TDP | Consulta | Disponibilização,Consultar webhooks cadastrados.,Anotado,Classificação sustentada pelo efeito funcional exposto pela interface e pelos elementos OpenAPI relacionados.
MAP-028,paths//cob/get/parameters[2]/schema,Schema / propriedade / schema de parâmetro,"paths[""/cob""].get.parameters[2].schema",566,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-029,paths//cobv/get/parameters[2]/schema,Schema / propriedade / schema de parâmetro,"paths[""/cobv""].get.parameters[2].schema",738,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-030,paths//pix/get/parameters[5]/schema,Schema / propriedade / schema de parâmetro,"paths[""/pix""].get.parameters[5].schema",1165,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-031,Schema: PessoaFisica,Schema / propriedade / schema de parâmetro,components.schemas.PessoaFisica,2625,x-refersTo,Pessoa Natural,Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-032,Schema: PessoaFisica/properties/cpf,Schema / propriedade / schema de parâmetro,components.schemas.PessoaFisica.properties.cpf,2631,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-033,Schema: PessoaFisica/properties/nome,Schema / propriedade / schema de parâmetro,components.schemas.PessoaFisica.properties.nome,2637,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-034,Schema: PessoaJuridica,Schema / propriedade / schema de parâmetro,components.schemas.PessoaJuridica,2643,x-refersTo,Pessoa Jurídica,Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-035,Schema: DadosDevedor/properties/devedor/allOf[0]/properties/email,Schema / propriedade / schema de parâmetro,components.schemas.DadosDevedor.properties.devedor.allOf[0].properties.email,2693,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
MAP-036,Schema: ParametrosConsultaCob/properties/cpf,Schema / propriedade / schema de parâmetro,components.schemas.ParametrosConsultaCob.properties.cpf,4220,x-refersTo,Dado Pessoal (DP),Elemento explicitamente representado na especificação e auditado no Estudo I.,Anotado,Associação registrada no elemento responsável pela representação/definição semântica do dado ou entidade.
