ID do achado,Artefato analisado,Elemento analisado,Achado de privacidade,Conceito da OntoPrivacy,Titular,Agente ou ator,Operação de tratamento,Finalidade ou condição de tratamento,Requisito derivado,Tipo de elemento derivado,Fonte normativa ou conceitual,Evidência no artefato,Ponto de atenção,Status da revisão
MPA-01,C01; C02,Tibico completo — contexto e dependência interna,"Os artefatos documentam tratamento de dados pessoais no Tibico; C02 também representa dependência interna ControlePauta → ControleInterno, relevante à interpretação conjunta dos tratamentos.",Tratamento de Dados Pessoais; Dado Pessoal,Titulares conforme os DP-xx relacionados,"AG-01–AG-03 e AG-08, conforme a operação",Operações OP-xx conforme cada tratamento; esta linha registra somente o achado geral de existência de TDP,Conforme FA-xx; condição autorizadora permanece A verificar,RP-01,Negócio,OntoPrivacy; GERPD,"C01, Seções 2–4; C02, Seções 2–6 e Figura 1, que representa a dependência ControlePauta → ControleInterno",PA-01,Aceito com ajustes
MPA-02,C01; C02,Cadastro de aluno; Pessoa/Aluno,"Nome, sexo, nascimento, CPF, identidade, telefone, e-mail e endereço do aluno são Dados Pessoais.",Dado Pessoal,AG-01,AG-01 como titular; AG-03/AG-08 no cadastro,OP-01 — Coleta; OP-03 — Armazenamento,"FA-01; FA-03, sendo a finalidade de FA-03 Parcial no estado revisado",RP-02,Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,C01 RF03/minimundo; C02 Tabela 3; Pessoa,PA-03,Aceito com ajustes
MPA-03,C01,Perfil de aluno/professor — foto,A foto de perfil é Dado Pessoal e é documentada como opcional.,Dado Pessoal,AG-01; AG-02,AG-03/AG-08; origem concreta A verificar,OP-02; OP-10,FA-02; FA-10,RP-05,Critério de aceitação,OntoPrivacy; GERPD,C01 Seção 3: “podendo-se adicionar” foto ao perfil,PA-09,Aceito
MPA-04,C01; C02,Matrícula do aluno,"O número de matrícula é identificador acadêmico pessoal, único e também é reutilizado como nome de usuário.",Dado Pessoal,AG-01,AG-08; AG-03,OP-03; OP-17,FA-03; FA-17 conforme AR-03 — autenticação é funcionalmente requerida; necessidade específica da matrícula como login permanece A verificar,RP-44; relação com RP-02,Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,C01 RN05/RN10; C02 Aluno.matricula,PA-04,Aceito com ajustes
MPA-05,C01; C02,Aluno.nomePai; Aluno.nomeMae,Nome do pai e nome da mãe são Dados Pessoais de pessoas naturais distintas do aluno.,Dado Pessoal; Titular de Dados Pessoais,AG-04; AG-05,AG-03; AG-08,OP-01; OP-03,FA-01; FA-03,RP-04 (texto revisado quanto ao responsável institucional),Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,C01 cadastro inclui nomes dos pais; C02 nomePai/nomeMae; AR-01,PA-03,Aceito com ajustes
MPA-06,C01; C02,"Matrículas, disciplinas, resultados, frequência e situação acadêmica",Os vínculos e resultados acadêmicos representados em DP-13–DP-24 referem-se ao aluno e constituem Dados Pessoais.,Dado Pessoal,AG-01,AG-01–AG-03; AG-08,OP-22–OP-40 conforme cada dado; OP-30 e OP-33 passam a Operação de Tratamento de Dados Pessoais em nível geral,"FA-22–FA-40 conforme cada relação, incorporando os ajustes humanos da Etapa 3.2",Não aplicável — requisitos específicos permanecem nos registros MPA próprios,Não aplicável,OntoPrivacy; GERPD,"C01 minimundo/RF09–RF15; C02 casos de uso, Tabela 5, Figuras 4–6","PA-08; PA-10–PA-18; PA-21, conforme o dado/fluxo",Aceito com ajustes
MPA-07,C01; C02,Cadastro de professor; Pessoa/Professor,"Nome, sexo, nascimento, CPF, identidade, telefone, e-mail e endereço do professor são Dados Pessoais.",Dado Pessoal,AG-02,AG-02 como titular; AG-03/AG-08 no cadastro,OP-09 — Coleta; OP-11 — Armazenamento,"FA-09; FA-11, sendo a finalidade de FA-11 Parcial no estado revisado",RP-03,Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,C01 RF04/minimundo; C02 Tabela 3; Pessoa,PA-03,Aceito com ajustes
MPA-08,C01; C02,"Professor — formação, área e alocação","Formação, área de atuação, turma/disciplina e disponibilidade/horário associados ao professor são Dados Pessoais contextuais.",Dado Pessoal,AG-02,AG-03; AG-08,OP-20 conforme AR-02; OP-21,FA-20; FA-21,RP-17 (responsável revisado); RP-18,Negócio; Funcional,OntoPrivacy; GERPD,"C01 RF07; C02 Alocar Professor, RI03; AR-02",PA-11,Aceito com ajustes
MPA-09,C01,Login e senha,Login de aluno/professor/funcionário e senha são Dados Pessoais vinculados a autenticação.,Dado Pessoal,AG-01; AG-02; AG-03,AG-08; AG-07 no contexto documentado,OP-17–OP-19,FA-17–FA-19; FA-17 conforme AR-03,RP-14–RP-16; RP-44 (responsável revisado),Não funcional; Controle; Funcional; Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,"C01 RN10, RNF01, RNF11",PA-04; PA-06,Aceito com ajustes
MPA-10,C01; C02,"Perfis Aluno, Professor e Funcionário do registro acadêmico","O perfil/tipo de usuário DP-33 diferencia permissões funcionais; 'registro escolar' permanece apenas como expressão documental correlata ao Funcionário do registro acadêmico, sem equivalência organizacional adicional presumida.",Dado Pessoal; Ator; Ator Autorizado; Ator Desautorizado,AG-01–AG-03,AG-01–AG-03; AG-06 no contexto desautorizado,Operação sobre DP-33: não identificada; operações acessadas conforme perfil,FA-43,RP-38; RP-39 (responsável revisado),Controle,OntoPrivacy; GERPD,C01 RNF01; C02 Tabela 2/Figuras 2–3,PA-05,Aceito com ajustes
